Date,FMWB/Trend/Range?,Valid M/W/FD,Move %,Peak High/Low Day for the move?,Session for the opposite side of the M/W/FD trend?,Valid 50EMA retest entry on 15M TF?,Confluence with BBWP below 35?,3 Levels completed on 15M TF?,Valid 50EMA retest entry on 1H TF?,Confluence with BBWP below 35?,3 levels on 1H TF?,Reversal SVC?,,,,,,,,,,,,,,,
2025-06-02 00:00:00,W,W,0.0304,Monday,US,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
2025-05-26 00:00:00,FDW,FDW,0.0368,Tuesday,US,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2025-05-19 00:00:00,FDM,FDM,0.0477,Monday,Asia,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,
2025-05-12 00:00:00,FDM,FDM,0.0491,Monday,Asia,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
2025-05-05 00:00:00,FDW,FDW,0.1179,Tuesday,US,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
2023-07-05 00:00:00,FMWB,M,0.0642,Sunday,Sunday D,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30/04/2023,FMWB,FDM,0.0769,Sunday,Sunday N,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
24/024/2023,FMWB,M,0.0378,Monday,Asia,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
18/04/2023,FMWB,FDW,0.0472,Tuesday,Asia,1.0,0.0,1.0,1.0,na,0.0,1.0,,,,,,,,,,,,,,,
17/04/2023,Trend,FDM,0.0475,Sunday,NA,0.0,na,1.0,0.0,na,1.0,1.0,,,,,,,,,,,,,,,
2023-10-04 00:00:00,Trend,W,11.42,Sunday,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
2023-03-04 00:00:00,FMWB,FDW,0.0575,Monday,US,1.0,0.0,0.0,0.0,na,0.0,0.0,,,,,,,,,,,,,,,
2023-03-27 00:00:00,FMWB,M,0.0599,Monday,US,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
28/03/2023,Trend,W,0.1,Monday,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
=A25-7,Trend,W,0.2,Monday,UK,1.0,0.0,0.0,0.0,na,0.0,1.0,,,,,,,,,,,,,,,
=A27-7,range,na,0.01,Monday,NA,na,na,na,na,na,na,1.0,,,,,,,,,,,,,,,
=A28-7,FMWB,FDM,3.65,Monday,US,0.0,na,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
=A29-7,FMWB,FDM,0.0535,Monday,Asia,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
=A30-7,FMWB,FDM,0.0532,Monday,Asia,1.0,0.0,0.0,0.0,na,0.0,1.0,,,,,,,,,,,,,,,
=A31-7,FMWB,FDW,0.0333,Monday,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
=A32-7,FMWB,W,0.0361,Monday,Asia,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
=A33-7,FMWB,W,0.06,Monday,US/DGZ,1.0,1.0,1.0,0.0,na,0.0,1.0,,,,,,,,,,,,,,,
=A34-7,FMWB,W,0.04,Monday,DGZ,0.0,na,0.0,0.0,na,0.0,1.0,This week was more of a range TBH,,,,,,,,,,,,,,
=A35-7,FMWB,M,0.0383,Monday,Asia,0.0,na,0.0,0.0,na,0.0,0.0,,,,,,,,,,,,,,,
=A36-7,Trend,na,0.0281,Monday,US,0.0,na,0.0,0.0,na,0.0,0.0,,,,,,,,,,,,,,,
=A37-7,na,na,na,na,na,na,na,na,na,na,na,na,This week was just a range. Not worth charting or trading.,,,,,,,,,,,,,,
=A38-7,FMWB,W,0.0147,Monday,US/DGZ,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
=A39-7,FMWB,FDM,0.0365,Monday,US/DGZ,1.0,1.0,1.0,1.0,1.0,0.0,0.0,This week was more of a range TBH,,,,,,,,,,,,,,
=A40-7,FMWB,FDM,0.0229,Monday,Asia,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
